['大鱼海棠'],"['梁旋', '张春']","['季冠霖', '苏尚卿', '许魏洲']","['剧情,动画,奇幻']","['2016', '07', '08']",['5.64亿']
['蝙蝠侠大战超人：正义黎明'],['扎克·施奈德'],"['本·阿弗莱克', '亨利·卡维尔', '艾米·亚当斯', '杰西·艾森伯格']","['动作,科幻,奇幻']","['2016', '03', '25']",['6.18亿']
['奇异博士'],['斯科特·德瑞克森'],"['本尼迪克特·康伯巴奇', '切瓦特·埃加福特', '瑞秋·麦克亚当斯', '本尼迪特·王']","['动作,冒险,奇幻']","['2016', '11', '04']",['7.50亿']
['你的名字。'],['新海诚'],"['上白石萌音', '佟心竹', '神木隆之介', '皇贞季']","['爱情,动画,奇幻']","['2016', '12', '02']",['5.76亿']
['情圣'],"['宋晓飞', '董旭']","['肖央', '闫妮', '小沈阳']","['喜剧,爱情']","['2016', '12', '30']",['6.58亿']
['叶问3'],['叶伟信'],"['甄子丹', '张晋', '熊黛林', '谭耀文']","['动作,历史,传记']","['2016', '03', '04']",['7.69亿']
['神奇动物在哪里'],['大卫·叶茨'],"['埃迪·雷德梅恩', '凯瑟琳·沃特森', '艾莉森·萨多尔', '丹·福勒']","['冒险,奇幻,家庭']","['2016', '11', '25']",['5.91亿']
['叶问3'],['叶伟信'],"['甄子丹', '张晋', '熊黛林', '谭耀文']","['动作,历史,传记']","['2016', '03', '04']",['7.69亿']
['中邪'],['马凯'],"['董天文', '何佳', '赵树达', '文中学']","['恐怖,惊悚']","['2016', '07', '23']",['42万']
['魔兽'],['邓肯·琼斯'],"['崔维斯·费米尔', '宝拉·巴顿', '本·福斯特', '多米尼克·库珀']","['动作,冒险,奇幻']","['2016', '06', '08']",['14.69亿']
['澳门风云3'],"['刘伟强', '王晶']","['周润发', '刘德华', '张家辉']","['喜剧,动作']","['2016', '02', '08']",['11.16亿']
['龙珠Z：复活的弗利萨'],['山室直仪'],"['山寺宏一', '野泽雅子', '中尾隆圣', '堀川亮']","['动画,动作,冒险']","['2016', '10', '21']",['1098万']
['奇幻森林'],['乔恩·费儒'],"['尼尔·塞西', '郭子睿', '比尔·默瑞', '郭涛']","['剧情,冒险,奇幻']","['2016', '04', '15']",['9.77亿']
['寒战2'],"['梁乐民', '陆剑青']","['郭富城', '梁家辉', '周润发']","['剧情,动作,犯罪']","['2016', '07', '08']",['6.77亿']
['湄公河行动'],['林超贤'],"['张涵予', '彭于晏', '冯文娟', '吴旭东']","['剧情,动作,犯罪']","['2016', '09', '30']",['11.85亿']
['你好，疯子！'],['饶晓志'],"['万茜', '周一围', '王自健', '金士杰']","['剧情,喜剧,悬疑']","['2016', '12', '30']",['1566万']
['长城'],['张艺谋'],"['马特·达蒙', '景甜', '佩德罗·帕斯卡', '刘德华']","['剧情,冒险,奇幻']","['2016', '12', '16']",['11.73亿']
['航海王之黄金城'],['宮元宏彰'],"['田中真弓', '大谷育江', '冈村明美', '山路和弘']","['动画,动作,冒险']","['2016', '11', '11']",['1.07亿']
['一条大鱼叫海棠'],['柏晓'],"['A大调', '永不停歇的蛋炒饭喷泉', '哐当']","['剧情,喜剧,动画,短片']","['2016', '07', '14']",[]
['驴得水'],"['周申', '刘露']","['任素汐', '大力', '刘帅良']","['剧情,喜剧']","['2016', '10', '28']",['1.73亿']
