actors,boxoffice,directors,time,title,type
"郑伊健,陈小春,谢天华,钱嘉乐",3.17亿,钱嘉乐,"2018,09,21",黄金兄弟,"剧情,动作,犯罪"
"秦语,曾淇,赵艺",96万,"刘鼎业,高朋","2018,11,09",开学悸,"惊悚,悬疑"
"文章,包贝尔,克拉拉,许君聪",2.61亿,包贝尔,"2018,09,30",胖子行动队,"喜剧,动作"
"赵文卓,安志杰,陈国坤,杜宇航",1795万,刘镇伟,"2018,10,26",功夫联盟,"动作,喜剧,爱情"
"杨幂,郭京飞,李鸿其",2471万,刘杰,"2018,10,19",宝贝儿,剧情
"郑伊健,贾青,于荣光,谢天华",100万,吕柯憬,"2018,11,09",三国杀·幻,"爱情,动作,悬疑"
"猫鲍勃,露塔·格德米纳斯,卢克·崔德威,琼安·弗洛加特",5217万,罗杰·斯波蒂斯伍德,"2018,11,02",流浪猫鲍勃,"剧情,喜剧,传记"
"杰克·布莱克,凯特·布兰切特,欧文·瓦卡罗,芮妮·戈兹贝里",1899万,伊莱·罗斯,"2018,11,01,18,00",滴答屋,"喜剧,冒险,奇幻"
"吴克群,周依然,周键铭,苏士为",1275万,吴克群,"2018,10,26",为你写诗,"喜剧,爱情,奇幻"
"王宝强,刘昊然,肖央,刘承羽",33.98亿,陈思诚,"2018,02,16",唐人街探案2,"喜剧,动作,悬疑"
"段鹏程,曾晨,唐文欣,吴春怡",,王敬尧,2018,吃货不投诉,喜剧
"王衡,吕佩玉,孙晔,穆雪婷",1137万,施雅雅,"2018,11,10",恐龙王,"喜剧,动画,冒险"
"阎么么,赵一博,图特哈蒙",1.05亿,"王云飞,张林旭","2018,08,03",神秘世界历险记4,"动画,冒险,奇幻"
"伊丽娜·格鲁布,Miyako Yoshida,加里·艾维斯",,"米克哈尔·谢米亚金,Monica Mason","2018,04,07",胡桃夹子,"爱情,音乐,奇幻"
"小野贤章,苏尚卿,小野友树,吴磊",679万,多田俊介,"2018,08,24",黑子的篮球·终极一战,"动画,运动"
"孙晔,沈达威,陶典,刘北辰",3785万,马系海,"2018,09,22",大闹西游,"喜剧,动画,家庭"
"吴磊,梁家辉,刘嘉玲,张艺上",4984万,张鹏,"2018,07,13",阿修罗,"动作,爱情,奇幻"
"赵又廷,冯绍峰,林更新,阮经天",6.06亿,徐克,"2018,07,27",狄仁杰之四大天王,"动作,悬疑,奇幻,武侠,古装"
"朗贝尔·维尔森,皮弗,托马斯·阿克达,摩根·弗里曼",538万,吕克·雅盖,"2018,10,12",帝企鹅日记2：召唤,纪录片
"堺雅人,高畑充希,堤真一,安藤樱",4850万,山崎贵,"2018,09,14",镰仓物语,"剧情,奇幻"
"汤姆·哈迪,米歇尔·威廉姆斯,里兹·阿迈德,斯科特·黑兹",11.21亿,鲁本·弗雷斯彻,"2018,11,09",毒液：致命守护者,"动作,惊悚,科幻"
"章子怡,黄晓明,王力宏,张震",7.54亿,李芳芳,"2018,01,12",无问西东,"爱情,战争"
"梁朝伟,白百何,井柏然,李宇春",22.37亿,许诚毅,"2018,02,16",捉妖记2,"喜剧,奇幻"
"王小岩,陆翊,王廷辉,贾明瑛",268万,王辰六,"2018,10,26",灵魂契约,"恐怖,惊悚,悬疑"
"约翰·博耶加,斯科特·伊斯特伍德,景甜,卡莉·史派妮",6.33亿,斯蒂文·S·迪奈特,"2018,03,23",环太平洋：雷霆再起,"动作,冒险,科幻"
"郭富城,冯绍峰,赵丽颖,小沈阳",7.27亿,郑保瑞,"2018,02,16",西游记女儿国,"喜剧,爱情,动作"
"佐藤健,土屋太凤,北村一辉,浜野谦太",311万,濑濑敬久,"2018,10,19",跨越8年的新娘,"剧情,爱情"
"李扬,胡谦,蒋可,李晔",7650万,刘炜,"2018,10,01",阿凡提之奇缘历险,"动画,冒险"
,38万,宋占涛,"2018,11,09",地层深处,纪录片
"道恩·强森,娜奥米·哈里斯,杰弗里·迪恩·摩根,玛琳·阿克曼",10.04亿,布拉德·佩顿,"2018,04,13",狂暴巨兽,"动作,冒险,科幻"
"张艺谋,赵小丁,陈敏正,马光荣",82万,汪鹏,"2018,10,12",张艺谋和他的“影”,纪录片
