name,sex
,
['鲍比·坎纳瓦尔'],['男']
,
['杰夫·丹尼尔斯'],['男']
,
['赵本山'],['男']
,
['林雪'],['男']
,
['黄圣依'],['女']
,
['迈克尔·凯恩'],['男']
,
['陈学冬'],['男']
,
['乔恩·哈姆'],['男']
,
['李晨'],['男']
,
['刘芮麟'],['男']
,
['郭碧婷'],['女']
,
['杜宇航'],['男']
,
['陈国坤'],['男']
,
['李媛'],['女']
,
['杨颖'],['女']
,
['黄渤'],['男']
,
['泰莉莎·帕尔墨'],['女']
,
['Mr. Lawrence'],['男']
,
['陈坤'],['男']
,
['比尔·法格巴克'],['男']
,
['卢克·布雷西'],['男']
,
['汤姆·肯尼'],['男']
,
['舒淇'],['女']
,
['安德鲁·加菲尔德'],['男']
,
['赵文卓'],['男']
,
['崔志佳'],['男']
,
['金燕玲'],['女']
,
['安志杰'],['男']
,
['柳岩'],['女']
,
['姜武'],['男']
,
['袁姗姗'],['女']
,
['井柏然'],['男']
,
['大鹏'],['男']
,
['吴彦祖'],['男']
,
['白百何'],['女']
,
['本·威士肖'],['男']
,
['蕾雅·赛杜'],['女']
,
['丹尼尔·克雷格'],['男']
,
['郭采洁'],['女']
,
['塔伦·埃格顿'],['男']
,
['杨幂'],['女']
,
['科林·费斯'],['男']
,
['雨果·维文'],['男']
,
['元华'],['男']
,
['周星驰'],['男']
,
['桑德拉·布洛克'],['女']
,
['皮埃尔·柯芬'],['男']
,
['姚晨'],['女']
,
['赵又廷'],['男']
,
['凤小岳'],['男']
,
['元秋'],['女']
,
['张震'],['男']
,
['杜晓宇'],['男']
,
['塞缪尔·杰克逊'],['男']
,
['章子怡'],['女']
,
['沈腾'],['男']
,
['克里斯汀·韦格'],['女']
,
['马特·达蒙'],['男']
,
['伊万杰琳·莉莉'],['女']
,
['保罗·路德'],['男']
,
['梁朝伟'],['男']
,
['杰西卡·查斯坦'],['女']
,
['马丽'],['女']
,
['寇瑞·斯托尔'],['男']
,
['伍迪·哈里森'],['男']
,
['利亚姆·海姆斯沃斯'],['男']
,
['詹妮弗·劳伦斯'],['女']
,
['吴君如'],['女']
,
['梁家辉'],['男']
,
['道格拉斯·布斯'],['男']
,
['代乐乐'],['女']
,
['乔什·哈切森'],['男']
,
['刘德华'],['男']
,
['戴尔里·林多'],['男']
,
['王珞丹'],['女']
,
['艾恩·格拉法德'],['男']
,
['亚历珊德拉·达达里奥'],['女']
,
['卡拉·古奇诺'],['女']
,
['埃德加·拉米雷兹'],['男']
,
['罗比恩·蕾哈娜·芬缇'],['女']
,
['凯文·詹姆斯'],['男']
,
['魏大勋'],['男']
,
['张慧雯'],['女']
,
['李易峰'],['男']
,
['蒋劲夫'],['男']
,
['安迪·萨姆伯格'],['男']
,
['吉姆·帕森斯'],['男']
,
['佟大为'],['男']
,
['道恩·强森'],['男']
,
['窦骁'],['男']
,
['麦肯吉·弗依'],['女']
,
['崔始源'],['男']
,
['杰夫·布里吉斯'],['男']
,
['黄忆慈'],['女']
,
['彭于晏'],['男']
,
['孙俪'],['女']
,
['亚当·桑德勒'],['男']
,
['查宁·塔图姆'],['男']
,
['米拉·库尼斯'],['女']
,
['赛琳娜·戈麦斯'],['女']
,
['万丹青'],['男']
,
['谭笑'],['男']
,
['鹿晗'],['男']
,
['张艺兴'],['男']
,
['王传君'],['男']
,
['归亚蕾'],['女']
,
['敏迪·卡灵'],['女']
,
['妻夫木聪'],['男']
,
['王千源'],['男']
,
['吴若甫'],['男']
,
['刘烨'],['男']
,
['刘纯燕'],['女']
,
['阿诺德·施瓦辛格'],['男']
,
['艾米莉亚·克拉克'],['女']
,
['杰·科特尼'],['男']
,
['杰森·克拉克'],['男']
,
['徐峥'],['男']
,
['包贝尔'],['男']
,
['赵薇'],['女']
,
['古天乐'],['男']
,
['托尼·贾'],['男']
,
['张晋'],['男']
,
['斯特兰·斯卡斯加德'],['男']
,
['莉莉·詹姆斯'],['女']
,
['凯特·布兰切特'],['女']
,
['马天宇'],['男']
,
['吴京'],['男']
,
['白客'],['男']
,
['马思纯'],['女']
,
['杨洋'],['男']
,
['欧豪'],['男']
,
['陈都灵'],['女']
,
['玛姬·格蕾斯'],['女']
,
['多格雷·斯科特'],['男']
,
['福里斯特·惠特克'],['男']
,
['刘嘉玲'],['女']
,
['张家辉'],['男']
,
['周润发'],['男']
,
['水田山葵'],['女']
,
['菲利丝·史密斯'],['女']
,
['陈柏霖'],['男']
,
['郑恺'],['男']
,
['艾米·波勒'],['女']
,
['杨子姗'],['女']
,
['张伟'],['男']
,
['连姆·尼森'],['男']
,
['赞达亚·科尔曼'],['女']
,
['吉娜·罗德里格兹'],['女']
,
['西蒙·佩吉'],['男']
,
['许君聪'],['男']
,
['克拉拉'],['女']
,
['马光荣'],['男']
,
['陈敏正'],['男']
,
['谢天华'],['男']
,
['穆雪婷'],['女']
,
['张一鸣'],['男']
,
['宋芸桦'],['女']
,
['罗特·萨拉夫'],['男']
,
['李冰冰'],['女']
,
['周强'],['男']
,
['克里斯·海姆斯沃斯'],['男']
,
['克里斯汀·贝尔'],['女']
,
['小罗伯特·唐尼'],['男']
,
['萨拉·西尔弗曼'],['女']
,
['马克·鲁法洛'],['男']
,
['王啸坤'],['男']
,
['约翰·C·赖利'],['男']
,
['施予斐'],['女']
,
['吕佩玉'],['女']
,
['苏普丽雅·皮尔加卡尔'],['女']
,
['内拉吉·卡比'],['男']
,
['孙晔'],['男']
,
['张翰'],['男']
,
['拉妮·玛克赫吉'],['女']
,
['于荣光'],['男']
,
['贾青'],['女']
,
['杰克·莱西'],['男']
,
['欧嘉·柯瑞兰寇'],['女']
,
['本·米勒'],['男']
,
['罗温·艾金森'],['男']
,
['卢克·崔德威'],['男']
,
['琼安·弗洛加特'],['女']
,
['王衡'],['男']
,
['露塔·格德米纳斯'],['女']
,
['赵小丁'],['男']
,
['猫鲍勃'],['男']
,
['郑伊健'],['男']
,
['文章'],['男']
,
['卢靖姗'],['女']
,
['宋阳'],['男']
,
['艾伦'],['男']
,
['黄才伦'],['男']
,
['文·瑞姆斯'],['男']
,
['亨利·卡维尔'],['男']
,
['苏士为'],['女']
,
['汤姆·克鲁斯'],['男']
,
['陈乔恩'],['女']
,
['周依然'],['女']
,
['吴克群'],['男']
,
['张艺谋'],['男']
,
['周键铭'],['女']
,
['昂和妮玛'],['女']
,
['理查德·麦登'],['男']
,
['金炜'],['男']
,
['冯绍峰'],['男']
,
['唐艺昕'],['女']
,
['徐小琴'],['女']
,
['吴娜'],['女']
,
['白举纲'],['男']
,
['罗云熙'],['男']
,
['谭松韵'],['女']
,
['杜菁'],['女']
,
['丁汇宇'],['男']
,
['黄晓明'],['男']
,
['林志玲'],['女']
,
['成龙'],['男']
,
['丹·史蒂文斯'],['男']
,
['欧文·威尔逊'],['男']
,
['罗宾·威廉姆斯'],['男']
,
['本·斯蒂勒'],['男']
,
['郭富城'],['男']
,
['张曼玉'],['女']
,
['曾志伟'],['男']
,
['黎明'],['男']
,
['罗宾·怀特'],['女']
,
['约翰·浩克斯'],['男']
,
['艾德里安·布洛迪'],['男']
,
['张蓝艺'],['女']
,
['乔什·布洛林'],['男']
,
['姚雨鑫'],['男']
,
['约翰·库萨克'],['男']
,
['沈凯'],['男']
,
['王婷'],['女']
,
['万国鹏'],['男']
,
['霍尊'],['男']
,
['陈志荣'],['男']
,
['祖晴'],['女']
,
['陆双'],['女']
,
['刘畅'],['男']
,
['苏尚特·辛格·拉吉普特'],['男']
,
['吴磊'],['男']
,
['莎莉·霍金斯'],['女']
,
['桑杰·达特'],['男']
,
['休·博纳维尔'],['男']
,
['张汉盛'],['男']
,
['赵丽颖'],['女']
,
['金士杰'],['男']
,
['凯拉·奈特莉'],['女']
,
['海莉·斯坦菲尔德'],['女']
,
['王景春'],['男']
,
['彼特·丁拉基'],['男']
,
['罗里·金奈尔'],['男']
,
['梁颖'],['女']
,
['邓玉婷'],['女']
,
['张琳'],['男']
,
['朱亚文'],['男']
,
['马修·古迪'],['男']
,
['周韵'],['女']
,
['本尼迪克特·康伯巴奇'],['男']
,
['刘孜'],['女']
,
['邱泽'],['男']
,
['杨迪'],['男']
,
['齐溪'],['女']
,
['韩庚'],['男']
,
['姜成镐'],['男']
,
['范冰冰'],['女']
,
['吴镇宇'],['男']
,
['亚历山德拉·玛丽亚·拉娜'],['女']
,
['薛凯琪'],['女']
,
['杨抒文'],['女']
,
['王祺'],['女']
,
['傅舜盈'],['女']
,
['何涴潆'],['女']
,
['夏甜'],['女']
,
['杨千嬅'],['女']
,
['刘馨萱'],['女']
,
['袁文革'],['男']
,
['胡达威'],['男']
,
['莱维·米勒'],['男']
,
['鲁妮·玛拉'],['女']
,
['休·杰克曼'],['男']
,
['江一燕'],['女']
,
['李小璐'],['女']
,
['林家栋'],['男']
,
['廖政豪'],['男']
,
['加内特·赫德兰'],['男']
,
['小沈阳'],['男']
,
['严晓频'],['女']
,
['刘青云'],['男']
,
['奥利维亚·王尔德'],['女']
,
['方中信'],['男']
,
['郝翔海'],['男']
,
['谢昀杉'],['男']
,
['小连杀'],['女']
,
['丹尼尔·布鲁尔'],['男']
,
['郑秀文'],['女']
,
['关晓彤'],['女']
,
['夏雨'],['男']
,
['史依弘'],['女']
,
['潘虹'],['女']
,
['宋慧乔'],['女']
,
['陈数'],['女']
,
['印小天'],['男']
,
['诺亚·泰勒'],['男']
,
['戈登·亚历山大'],['男']
,
['拉菲·卡西迪'],['女']
,
['加布里埃拉·赖特'],['女']
,
['付曼'],['女']
,
['吴达洙'],['男']
,
['布丽特·罗伯森'],['女']
,
['邵仲衡'],['男']
,
['李丽珍'],['女']
,
['邓丽欣'],['女']
,
['方力申'],['男']
,
['孟佳'],['女']
,
['欧弟'],['男']
,
['宋承宪'],['男']
,
['刘亦菲'],['女']
,
['林颖'],['女']
,
['陶典'],['女']
,
['多姆纳尔·格里森'],['男']
,
['芬·维特洛克'],['男']
,
['杰克·奥康奈尔'],['男']
,
['滕梦乔'],['女']
,
['马里埃尔·希茨'],['女']
,
['弗朗西斯卡·卡帕尔迪'],['女']
,
['江疏影'],['女']
,
['郑开元'],['男']
,
['诺亚·施纳普'],['男']
,
['王翀'],['男']
,
['亚拉亚姆'],['女']
,
['比尔·莫伦茨'],['男']
,
['孙红雷'],['男']
,
['黄磊'],['男']
,
['姜雯'],['女']
,
['申克'],['男']
,
['宋磊'],['男']
,
['郭亚维'],['女']
,
['李思娴'],['女']
,
['天心'],['女']
,
['周渝民'],['男']
,
['何塞·巴勃罗·坎蒂略'],['男']
,
['任达华'],['男']
,
['尤兰蒂·维瑟'],['女']
,
['忍者'],['男']
,
['沙尔托·科普雷'],['男']
,
['珠玛'],['女']
,
['何佳颖'],['女']
,
['欧米德·吉亚李利'],['男']
,
['贾斯汀·弗莱彻'],['男']
,
['王燕华'],['女']
,
['洪海天'],['女']
,
['张佑赫'],['男']
,
['次仁多布杰'],['女']
,
['普布顿珠'],['男']
,
['郝鹏'],['男']
,
['高圆圆'],['女']
,
['吴刚'],['男']
,
['茹萍'],['女']
,
['小小志'],['男']
,
['郑浩南'],['男']
,
['于嘉萌'],['男']
,
['于笑'],['男']
,
['林志颖'],['男']
,
['叶芳'],['女']
,
['孙科'],['男']
,
['王琪'],['男']
,
['琪琪'],['女']
,
['郭子睿'],['男']
,
['古巨基'],['男']
,
['郭涛'],['男']
,
['解惠清'],['女']
,
['吴尊'],['男']
,
['徐娇'],['女']
,
['石班瑜'],['男']
,
['索朗多吉'],['男']
,
['姚星彤'],['女']
,
['常远'],['男']
,
['陈赫'],['男']
,
['林珍娜'],['女']
,
['王晓彤'],['女']
,
['李晔'],['女']
,
['林簌'],['女']
,
['约翰·斯帕克斯'],['男']
,
['熊黛林'],['女']
,
['田亮'],['男']
,
['马元'],['男']
,
['林依晨'],['女']
,
['翟子陌'],['男']
,
['陈小春'],['男']
,
['余心恬'],['女']
,
['罗北安'],['男']
,
['陈妍希'],['女']
,
['河正宇'],['男']
,
['李政宰'],['男']
,
['宋嘉豪'],['男']
,
['陈意涵'],['女']
,
['倪妮'],['女']
,
['刘韬'],['男']
,
['陈晓'],['男']
,
['苏岩'],['女']
,
['廖凡'],['男']
,
['汤唯'],['女']
,
['王馥荔'],['女']
,
['孔祥玉'],['男']
,
['赵文琪'],['女']
,
['倪虹洁'],['女']
,
['喻恩泰'],['男']
,
['马恩然'],['男']
,
['万梦琪'],['女']
,
['赵奔'],['男']
,
['张丽'],['女']
,
['哈维尔·巴登'],['男']
,
['秦海璐'],['女']
,
['伊德瑞斯·艾尔巴'],['男']
,
['雷·温斯顿'],['男']
,
['刘娟'],['女']
,
['秦昊'],['男']
,
['冯远征'],['男']
,
['吕中'],['女']
,
['高雅轩'],['女']
,
['焦恩俊'],['男']
,
['杨紫'],['女']
,
['李正翔'],['男']
,
['郭品超'],['男']
,
['张琦'],['男']
,
['陈奕迅'],['男']
,
['张安琪'],['女']
,
['西恩·潘'],['男']
,
['张涛'],['男']
,
['张赢'],['男']
,
['张艾嘉'],['女']
,
['高明钰'],['男']
,
['曹旭鹏'],['男']
,
['阎萌萌'],['女']
,
['刘黛希'],['女']
,
['赵今麦'],['女']
,
['尼古拉斯·凯奇'],['男']
,
['王妍之'],['女']
,
['玛丽亚·格拉齐亚·库奇诺塔'],['女']
,
['张馨予'],['女']
,
['彭禺厶'],['男']
,
['贺宽'],['男']
,
['李佑晨'],['女']
,
