['蚁人'],['佩顿·里德'],"['保罗·路德', '伊万杰琳·莉莉', '寇瑞·斯托尔', '鲍比·坎纳瓦尔']","['动作,冒险,科幻']","['2015', '10', '16']",['6.72亿']
['火星救援'],['雷德利·斯科特'],"['马特·达蒙', '杰西卡·查斯坦', '克里斯汀·韦格', '杰夫·丹尼尔斯']","['动作,冒险,科幻']","['2015', '11', '25']",['5.86亿']
['一念天堂'],['张承'],"['沈腾', '马丽', '杜晓宇', '林雪']","['剧情,喜剧']","['2015', '12', '31']",['8256万']
['一代宗师3D'],['王家卫'],"['梁朝伟', '章子怡', '张震', '赵本山']","['剧情,动作,传记']","['2015', '01', '08']",['9774万']
['九层妖塔'],['陆川'],"['赵又廷', '姚晨', '凤小岳', '李晨']","['剧情,动作,冒险']","['2015', '09', '30']",['6.83亿']
['小黄人大眼萌'],"['凯尔·巴尔达', '皮埃尔·柯芬']","['皮埃尔·柯芬', '桑德拉·布洛克', '乔恩·哈姆']","['喜剧,动画,家庭']","['2015', '09', '13']",['4.36亿']
['功夫'],['周星驰'],"['周星驰', '元秋', '元华', '黄圣依']","['喜剧,动作,犯罪']","['2004', '12', '23']",['1.60亿']
['王牌特工：特工学院'],['马修·沃恩'],"['科林·费斯', '塞缪尔·杰克逊', '塔伦·埃格顿', '迈克尔·凯恩']","['喜剧,动作,冒险']","['2015', '03', '27']",['4.83亿']
['小时代4：灵魂尽头'],['郭敬明'],"['杨幂', '郭采洁', '陈学冬', '郭碧婷']","['喜剧,爱情']","['2015', '07', '09']",['4.86亿']
['007：幽灵党'],['萨姆·门德斯'],"['丹尼尔·克雷格', '克里斯托弗·沃尔兹', '蕾雅·赛杜', '本·威士肖']","['动作,惊悚,冒险']","['2015', '11', '13']",['5.41亿']
['滚蛋吧！肿瘤君'],['韩延'],"['白百何', '吴彦祖', '李媛', '刘芮麟']","['剧情,喜剧,爱情']","['2015', '08', '13']",['5.11亿']
['煎饼侠'],['大鹏'],"['大鹏', '袁姗姗', '柳岩', '崔志佳']",['喜剧'],"['2015', '07', '17']",['11.63亿']
['功夫联盟'],['刘镇伟'],"['赵文卓', '安志杰', '陈国坤', '杜宇航']","['动作,喜剧,爱情']","['2018', '10', '26']",['1796万']
['血战钢锯岭'],['梅尔·吉布森'],"['安德鲁·加菲尔德', '雨果·维文', '卢克·布雷西', '泰莉莎·帕尔墨']","['剧情,战争,历史,传记']","['2016', '12', '08']",['4.26亿']
['寻龙诀'],['乌尔善'],"['陈坤', '黄渤', '舒淇', '杨颖']","['动作,冒险,奇幻']","['2015', '12', '18']",['16.79亿']
['海绵宝宝'],"['保罗·蒂贝特', '保罗·提比特']","['汤姆·肯尼', '比尔·法格巴克', 'Mr. Lawrence']","['喜剧,动画,冒险']","['2015', '12', '01']",['5667万']
['捉妖记'],['许诚毅'],"['白百何', '井柏然', '姜武', '金燕玲']","['喜剧,奇幻,古装']","['2015', '07', '16']",['24.40亿']
['蝙蝠侠：夜神飞驰'],"['特罗伊·贝克', 'Ryan R. Johnson', '塔拉·斯特朗', '弗雷德·塔特西奥', '塔西娅·瓦伦扎']",[],"['动作,短片']","['2015', '09', '02']",[]
['饥饿游戏3：嘲笑鸟（下）'],['弗朗西斯·劳伦斯'],"['詹妮弗·劳伦斯', '乔什·哈切森', '利亚姆·海姆斯沃斯', '伍迪·哈里森']","['动作,冒险,科幻']","['2015', '11', '20']",['1.43亿']
['失孤'],['彭三源'],"['刘德华', '井柏然', '梁家辉', '吴君如']",['剧情'],"['2015', '03', '20']",['2.15亿']
['妈妈的爱'],['文静'],[],"['剧情,短片']","['2015', '03', '04']",[]
['木星上行'],"['莉莉·沃卓斯基', '拉娜·沃卓斯基']","['查宁·塔图姆', '米拉·库尼斯', '道格拉斯·布斯']","['动作,科幻,冒险']","['2015', '03', '06']",['2.83亿']
['恶棍天使'],"['邓超', '俞白眉']","['邓超', '孙俪', '代乐乐']","['喜剧,爱情']","['2015', '12', '24']",['6.48亿']
['破风'],['林超贤'],"['彭于晏', '窦骁', '崔始源', '王珞丹']","['剧情,爱情,运动']","['2015', '08', '06']",['1.45亿']
['极盗者'],['埃里克松·科尔'],"['埃德加·拉米雷兹', '卢克·布雷西', '泰莉莎·帕尔墨', '戴尔里·林多']","['动作,犯罪,运动']","['2015', '12', '04']",['2.48亿']
['2015奇幻冰世界迪士尼《冰雪奇缘》特展'],[],[],['主题冰雕展'],"['2015', '05', '15']",[]
['末日崩塌'],['布拉德·佩顿'],"['道恩·强森', '卡拉·古奇诺', '亚历珊德拉·达达里奥', '艾恩·格拉法德']","['动作,冒险,灾难']","['2015', '06', '02']",['6.30亿']
['疯狂外星人'],"['蒂姆·约翰逊', '尼古拉斯·麦卡锡']","['吉姆·帕森斯', '佟大为', '罗比恩·蕾哈娜·芬缇']","['动画,冒险,奇幻']","['2015', '04', '24']",['1.72亿']
['精灵旅社2'],['格恩迪·塔塔科夫斯基'],"['亚当·桑德勒', '安迪·萨姆伯格', '赛琳娜·戈麦斯', '凯文·詹姆斯']","['动画,喜剧,家庭']","['2015', '10', '27']",['1.20亿']
['栀子花开'],['何炅'],"['李易峰', '张慧雯', '蒋劲夫', '魏大勋']","['剧情,爱情']","['2015', '07', '10']",['3.79亿']
['小王子'],['马克·奥斯本'],"['杰夫·布里吉斯', '黄渤', '麦肯吉·弗依', '黄忆慈']","['剧情,动画,冒险']","['2015', '10', '16']",['1.58亿']
['熊出没之雪岭熊风'],"['丁亮', '刘富源']","['张伟', '谭笑', '万丹青']","['动画,喜剧,冒险']","['2015', '01', '30']",['2.94亿']
['重返20岁'],['陈正道'],"['杨子姗', '陈柏霖', '鹿晗', '归亚蕾']","['喜剧,爱情,奇幻']","['2015', '01', '08']",['3.65亿']
['前任2：备胎反击战'],['田羽生'],"['郑恺', '郭采洁', '王传君', '张艺兴']","['喜剧,爱情']","['2015', '11', '06']",['2.52亿']
['头脑特工队'],"['彼特·道格特', '罗纳尔多·德尔·卡门']","['艾米·波勒', '菲利丝·史密斯', '敏迪·卡灵']","['动画,喜剧,家庭']","['2015', '10', '06']",['9723万']
['哆啦A梦：伴我同行'],"['山崎贵', '八木龙一']","['水田山葵', '刘纯燕', '妻夫木聪']","['剧情,喜剧,动画']","['2015', '05', '28']",['5.30亿']
['解救吾先生'],['丁晟'],"['刘德华', '刘烨', '吴若甫', '王千源']","['剧情,动作,犯罪']","['2015', '09', '30']",['1.96亿']
['澳门风云2'],"['王晶', '张敏']","['周润发', '张家辉', '刘嘉玲']","['喜剧,动作']","['2015', '02', '19']",['9.68亿']
['飓风营救3'],['奥利维尔·米加顿'],"['连姆·尼森', '福里斯特·惠特克', '玛姬·格蕾斯', '多格雷·斯科特']","['动作,惊悚,犯罪']","['2015', '03', '20']",['2.03亿']
['左耳'],['苏有朋'],"['陈都灵', '欧豪', '杨洋', '马思纯']",['爱情'],"['2015', '04', '24']",['4.85亿']
['终结者：创世纪'],['阿兰·泰勒'],"['阿诺德·施瓦辛格', '杰森·克拉克', '艾米莉亚·克拉克', '杰·科特尼']","['动作,冒险,科幻']","['2015', '08', '23']",['7.25亿']
['万万没想到'],['易小星'],"['杨子姗', '白客', '陈柏霖', '马天宇']","['喜剧,奇幻,古装']","['2015', '12', '18']",['3.22亿']
['杀破狼2'],['郑保瑞'],"['吴京', '托尼·贾', '张晋', '古天乐']","['剧情,动作,犯罪']","['2015', '06', '18']",['5.61亿']
['港囧'],"['徐峥', '阮惟新']","['徐峥', '赵薇', '包贝尔']","['喜剧,爱情,动作']","['2015', '09', '25']",['16.14亿']
['灰姑娘'],['肯尼思·布拉纳'],"['凯特·布兰切特', '莉莉·詹姆斯', '理查德·麦登', '斯特兰·斯卡斯加德']","['爱情,奇幻,冒险']","['2015', '03', '13']",['4.43亿']
['我的个神啊'],['拉吉库马尔·希拉尼'],"['Aamir Hussain Khan', '安努舒卡·莎玛', '苏尚特·辛格·拉吉普特', '桑杰·达特']","['喜剧,爱情,奇幻']","['2015', '05', '22']",['1.18亿']
['雪怪大冒险'],"['格伦·费卡拉', '杰森·雷西格']","['赞达亚·科尔曼', '查宁·塔图姆', '吉娜·罗德里格兹']","['喜剧,动画,奇幻']","['2018', '10', '19']",['7499万']
['为你写诗'],['吴克群'],"['吴克群', '周依然', '周键铭', '苏士为']","['喜剧,爱情,奇幻']","['2018', '10', '26']",['1276万']
['碟中谍6：全面瓦解'],['克里斯托弗·麦奎里'],"['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉']","['动作,惊悚,冒险']","['2018', '08', '31']",['12.45亿']
['胖子行动队'],['包贝尔'],"['文章', '包贝尔', '克拉拉', '许君聪']","['喜剧,动作']","['2018', '09', '30']",['2.61亿']
['张艺谋和他的“影”'],['汪鹏'],"['张艺谋', '赵小丁', '陈敏正', '马光荣']",['纪录片'],"['2018', '10', '12']",['82万']
